SaveTime,MaxVx,MaxVy,AxNormal,AxBrake,AxJumping,AerialInertia,JumpVelocity,GravityRising,GravityFalling,VerticalSpeedSustainLevel
0,1,5.403363,2,0.2406075,0.2799011,True,180.4541,1.056858,0.9325222,1
10.00074,1,5.403363,2,0.2406075,0.2799011,True,180.4541,1.056858,0.9325222,1
10.00241,1,5.403363,2,0.2406075,0.2799011,True,180.4541,1.056858,0.9325222,1
10.00296,1,5.403363,2,0.2406075,0.2799011,True,180.4541,1.056858,0.9325222,1
10.00469,1,5.403363,2,0.2406075,0.2799011,True,180.4541,1.056858,0.9325222,1
10.00086,1,5.403363,2,0.2406075,0.2799011,True,180.4541,1.056858,0.9325222,1
10.00346,1,5.403363,2,0.2406075,0.2799011,True,180.4541,1.056858,0.9325222,1
10.00013,1,5.403363,2,0.2406075,0.2799011,True,180.4541,1.056858,0.9325222,1
10.00279,1,5.403363,2,0.2406075,0.2799011,True,180.4541,1.056858,0.9325222,1
10.00526,1,5.403363,2,0.2406075,0.2799011,True,180.4541,1.056858,0.9325222,1
10.00315,1,5.403363,2,0.2406075,0.2799011,True,180.4541,1.056858,0.9325222,1
10.00189,1,5.403363,2,0.2406075,0.2799011,True,180.4541,1.056858,0.9325222,1
10.00671,1,5.403363,1.029323,0.2406075,0.2799011,True,180.4541,1.056858,0.9325222,1
10.00314,1,5.403363,1.144879,0.2406075,0.2799011,True,180.4541,1.056858,0.9325222,1
10.00902,1,5.403363,1.144879,0.2406075,0.2799011,True,180.4541,1.056858,0.9325222,1
10.00425,1,5.403363,1.144879,0.2406075,0.2799011,True,249.2104,0.848856,0.9325222,1
10.00437,1,5.403363,1.144879,0.2406075,0.2799011,True,249.2104,1.534689,0.9325222,1
10.00408,1,5.403363,1.144879,0.2406075,0.2799011,True,289.6554,1.534689,0.9325222,1
10.00224,1,5.403363,1.144879,0.2406075,0.2799011,True,289.6554,1.534689,0.9325222,1
10.00565,1,5.403363,1.144879,0.2406075,0.2799011,True,289.6554,1.534689,0.9325222,1
10.00095,1,5.403363,1.144879,0.2406075,0.2799011,True,289.6554,1.534689,6,1
10.00046,1,5.403363,1.144879,0.2406075,0.2799011,True,289.6554,1.534689,2.949299,1
10.00227,1,5.403363,1.144879,0.2406075,0.2799011,True,289.6554,1.534689,1.547927,1
10.00328,1,5.403363,1.144879,0.2406075,0.2799011,True,289.6554,1.534689,1.547927,1
